x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
0.606553549,0.096107787,0.786058426,0.369399133,0.232200472,0.971942972,0.344351538,0.382910369,0.551182542,0.438921701,0.855731345,0.823648831,0.701277316,0.412617912,0.161451625,0.342661297,0.522100379,0.601065002,0.611445912,0.79159159
0.955392133,0.179639361,0.50276207,0.568402304,0.536462538,0.027912716,0.113702941,0.824811321,0.006836654,0.829129029,0.161434118,0.896303894,0.376407762,0.286784813,0.827605224,0.986136361,0.692387229,0.364820447,0.287426121,0.076752747
0.92448952,0.853447613,0.998176703,0.652381162,0.157372762,0.799960005,0.292399667,0.839558521,0.698247334,0.692254239,0.777515339,0.629326554,0.47289479,0.481869438,0.275138335,0.125280752,0.815835684,0.049453088,0.188267536,0.038549534
0.113459419,0.29781005,0.678111954,0.626790825,0.669730007,0.633857017,0.628862089,0.167976367,0.937667261,0.596181676,0.816261711,0.855047882,0.424414032,0.524422902,0.646723583,0.183363336,0.581485493,0.112961779,0.505269447,0.90259171
0.843571238,0.455880517,0.720599557,0.249107873,0.530943957,0.28120126,0.593052933,0.151933194,0.168428578,0.671674377,0.75110339,0.099137021,0.355419992,0.673593897,0.21333077,0.455144876,0.163693654,0.234653825,0.159818245,0.108329075
0.369008495,0.780848719,0.181640632,0.504803877,0.50771507,0.070712507,0.018665025,0.82709226,0.096799575,0.320181397,0.197170865,0.646238449,0.06922815,0.238265201,0.451469036,0.591776228,0.577069021,0.591119599,0.60187475,0.455985913
0.423433692,0.182650071,0.084367703,0.549857569,0.597489522,0.698611978,0.864102119,0.044037067,0.004495829,0.539772383,0.907163507,0.370666829,0.60401585,0.496872238,0.871801153,0.019163492,0.072243379,0.172181069,0.577613769,0.781181887
0.632060141,0.251906328,0.597200233,0.621224444,0.980640812,0.108951709,0.888381829,0.656283729,0.154032094,0.848256087,0.568335989,0.455588146,0.673597561,0.823229634,0.285242762,0.717803571,0.81469573,0.830196892,0.226141811,0.721505254
0.061228707,0.7905672,0.344918001,0.473825093,0.041116627,0.444533696,0.999404607,0.744434995,0.341784167,0.706144084,0.64276484,0.3274357,0.509071328,0.605132627,0.460659561,0.214813572,0.566417375,0.102104353,0.478008525,0.735854194
0.135616032,0.428443796,0.219386907,0.7027703,0.221720239,0.42739296,0.288433823,0.554231573,0.874572879,0.236506021,0.486133283,0.088729648,0.421179912,0.289445428,0.443330438,0.220022222,0.280020195,0.740888778,0.462217819,0.089017922
0.754534315,0.143776894,0.296977363,0.367705634,0.214128141,0.931611503,0.228467185,0.257264607,0.804195319,0.941629841,0.248596405,0.116321867,0.28119389,0.131007824,0.141911434,0.56324172,0.514611418,0.711450719,0.032916157,0.041931006
0.340801737,0.220108523,0.921965969,0.02959033,0.418625591,0.069426004,0.655437682,0.550075407,0.16250909,0.251053216,0.721412339,0.393139839,0.467249331,0.767954793,0.381822057,0.942415065,0.249525397,0.616721936,0.706781386,0.420784574
0.38105949,0.553755131,0.076661422,0.394300706,0.847534291,0.770167185,0.739446297,0.669161774,0.640188893,0.323688981,0.04821277,0.127494902,0.03099268,0.237053893,0.008556804,0.826422413,0.505452279,0.046597446,0.479507803,0.180523759
0.743089052,0.926686391,0.797690041,0.562577924,0.554115449,0.627303894,0.538625557,0.178844504,0.845819199,0.40270866,0.983818872,0.678056829,0.049008043,0.626411222,0.057605232,0.748969415,0.105039378,0.944739879,0.381366091,0.616235019
0.906809734,0.24581812,0.580567869,0.216420421,0.66994896,0.235934277,0.202348902,0.957463529,0.77791795,0.912638492,0.430738562,0.686542769,0.380244259,0.654297597,0.980361656,0.811114144,0.269876673,0.434295622,0.811011942,0.936187504
0.41816599,0.3047939,0.514262029,0.149233345,0.711414996,0.849735182,0.696419011,0.933055731,0.980411715,0.576820096,0.271909806,0.541320115,0.723747732,0.989918437,0.991299923,0.555090344,0.86600089,0.441280149,0.409909371,0.099861705
0.212597531,0.743570773,0.583460034,0.367968989,0.947328521,0.903280787,0.053914669,0.893773454,0.178628994,0.725569849,0.138038437,0.307022835,0.927096782,0.55654239,0.473683127,0.59049581,0.634892155,0.394502121,0.086140321,0.62784527
0.214594586,0.229915509,0.401941541,0.445442893,0.672746683,0.803589428,0.796491319,0.02071288,0.409135371,0.069775939,0.50955809,0.707839517,0.466371445,0.914866688,0.324372953,0.231721517,0.576053621,0.557414295,0.726034326,0.413987247
0.971161071,0.441060473,0.17522075,0.182865873,0.63142672,0.351430054,0.66883751,0.333942919,0.005016671,0.721606753,0.653584576,0.175966933,0.755551573,0.462723008,0.36242525,0.592362414,0.24982969,0.521045065,0.55485741,0.241232456
0.191639977,0.212504584,0.966989469,0.04526148,0.580161469,0.011106196,0.332297318,0.240861252,0.763670269,0.434199264,0.092408112,0.524241963,0.261232855,0.56690986,0.067238926,0.927002545,0.151902146,0.608418579,0.567258511,0.676354724
0.572612221,0.431560486,0.119424022,0.670986107,0.595059674,0.512300267,0.002480594,0.69321617,0.682540392,0.053668127,0.070272028,0.931151158,0.197950759,0.501458193,0.840696496,0.33201983,0.174956231,0.20676098,0.299394836,0.729058859
0.156551021,0.825689607,0.416678532,0.405670033,0.892029023,0.642807725,0.079472298,0.058623908,0.566211054,0.026042031,0.217777876,0.806009868,0.685476332,0.435915632,0.199222609,0.00582971,0.344787139,0.302423198,0.595495224,0.770206585
0.925907236,0.524791252,0.669028944,0.027832743,0.224528079,0.730792213,0.853102262,0.384039311,0.002995552,0.212800883,0.767558322,0.524766709,0.737260242,0.312393398,0.912949623,0.591571866,0.14246975,0.841855474,0.784116735,0.633491652
0.965740718,0.476842058,0.561540801,0.132415675,0.984350891,0.009377452,0.897935968,0.775276469,0.146371776,0.846081293,0.002210506,0.247477042,0.395993962,0.352967705,0.145986579,0.690236896,0.389029579,0.820185956,0.230148176,0.995813059
